Final_Filename,Source_Path,Source_SHA256,Generated_By,Generated_From,Status,Reason_Included
descriptive_statistics.csv,experimental_audit/results/descriptive_statistics.csv,F813041DD759564F2F0F67A47B0FA3973E3C5829EBEB2F1C4EEE8DC9A1006376,scratch/reconcile_and_build_handoff_FINAL.py,data/processed/dataset_features_REAL_v1.0.csv,REGENERATED_FROM_AUTHORITATIVE_SOURCE,"Descriptive statistics (N, Mean, SD, Median, Min, Max) for unmedicated clinical groups."
statistical_comparisons.csv,experimental_audit/results/statistical_comparisons.csv,74B18436AD1C30EFD4777AE34BEDF1660E8E10A65EE6145F3E8D0B82927B559D,scratch/reconcile_and_build_handoff_FINAL.py,data/processed/dataset_features_REAL_v1.0.csv,REGENERATED_FROM_AUTHORITATIVE_SOURCE,"Mann-Whitney U statistics, p-values, Cohen d, and FDR q-values."
model_performance_summary.csv,experimental_audit/publication_evidence/model_performance_summary.csv,7BFD8B696F8B0F7C89DEA8090307F431F901F0BB74BC52338F1F8057242C4C73,experimental_audit/scripts/run_audit_experiments.py,data/processed/dataset_features_REAL_v1.0.csv,AUTHORITATIVE_SOURCE,"Nested CV classification metrics for LR, RF, and XGBoost."
model_performance_detailed.csv,experimental_audit/publication_evidence/model_performance_detailed.csv,3F485835A9AE64AC5C9955C39A7570DCC4716482FBC5596EA7A9EDE045D72E70,experimental_audit/scripts/run_audit_experiments.py,data/processed/dataset_features_REAL_v1.0.csv,AUTHORITATIVE_SOURCE,Outer fold prediction stats for classifiers.
out_of_fold_predictions.csv,experimental_audit/publication_evidence/out_of_fold_predictions.csv,1162DFE5ED047C04F200534A06C90001B26A074FD38B76D8FA9FA87B5BD02D96,experimental_audit/scripts/run_audit_experiments.py,data/processed/dataset_features_REAL_v1.0.csv,AUTHORITATIVE_SOURCE,Individual out-of-fold predictions used for confusion matrices.
single_feature_performance.csv,experimental_audit/publication_evidence/single_feature_performance.csv,74D8B444E9B73ACB58A5FA2DB9B8061A28D11001007AE06A157CDE0AF153045C,experimental_audit/scripts/run_audit_experiments.py,data/processed/dataset_features_REAL_v1.0.csv,AUTHORITATIVE_SOURCE,Univariate model baseline classification ranking.
ablation_summary.csv,experimental_audit/results/ablation_summary.csv,7A45005EC945D1264747BF232B3FB252938DF136DA2C57D9DBDE05CDED7131F3,experimental_audit/scripts/run_audit_experiments.py,data/processed/dataset_features_REAL_v1.0.csv,AUTHORITATIVE_SOURCE,Ablation performance metrics across the 9 feature groups.
ablation_detailed.csv,experimental_audit/results/ablation_detailed.csv,F386348252005B4EFD72BF5ECC7A4D35273CF916D50A8F64910FE1BAB865348A,experimental_audit/scripts/run_audit_experiments.py,data/processed/dataset_features_REAL_v1.0.csv,AUTHORITATIVE_SOURCE,Fold-level details of the feature ablation runs.
permutation_results.csv,experimental_audit/publication_evidence/permutation_results.csv,09671B297917A0633043BE4E8EE5652B17ECB9B9FA4D09B3D5EDE3FB108EE0EA,experimental_audit/scripts/run_audit_experiments.py,data/processed/dataset_features_REAL_v1.0.csv,AUTHORITATIVE_SOURCE,Permutation testing null distributions and empirical p-values.
sensitivity_pupil_proxy.csv,experimental_audit/publication_evidence/sensitivity_pupil_proxy.csv,89EB3FDDBCF35F4420F91631D75D050A2BCE9C8E76C51719B96286FD3407D27F,experimental_audit/scripts/run_audit_experiments.py,data/processed/dataset_features_REAL_v1.0.csv,AUTHORITATIVE_SOURCE,Sensitivity check verifying performance with/without the pupil mean.
